deployer,total_tokens,rugged,honeypots,successful,avg_lifespan_hours,success_rate,rug_rate,score,first_seen_block,last_seen_block
0x4f0f84abd0b2d8a7ae5e252fb96e07946dbbb1a4,11,0,0,2,0.0,0.181818,0.0,21.4812,87235928,88760029
0x4f46fdeb4362c24911530fe71c7fbb14f4218b23,2,0,0,0,0.0,0.0,0.0,0.0,87846377,87880714
0x4fba7643f2daeb94982cabe74fdfcdc5786d493c,1,0,0,1,0.0,1.0,0.0,40.0,88872181,88872181
0x509f557472fb6f78782a64fb4785e9463782498e,5,0,0,0,0.0,0.0,0.0,8.0,87237609,87715218
0x512eeacd4e878c914ee9d393be8c4ca9df4ed22e,1,0,0,1,0.0,1.0,0.0,80.5683,88833684,88833684
0x51e7ca9c07c3ddb94a39fde69c45827027b637a7,2,0,0,1,0.0,0.5,0.0,27.9616,87432205,89204394
0x53ca978b225108ea91d5ed9e670c9943cde804d1,5,0,0,0,0.0,0.0,0.0,8.0,87846545,88420865
0x54224e8131627a4e142830be1e9a595fefe32a96,1,0,0,0,0.0,0.0,0.0,0.0,87299060,87299060
0x543e30a7779866ccaec748cefc997de521d5208f,38,2,0,4,0.0,0.105263,0.052632,14.7548,87515313,89247139
0x553070b6b435dbbe912f99fe6ed487ac8322a47b,1,0,0,0,0.0,0.0,0.0,0.0,88478403,88478403
0x556b8933471427326fe8e682b4d649a9fe78348d,1,0,0,0,0.0,0.0,0.0,0.0,87714988,87714988
0x5615cbe983ede57506f30b6f16992f80ff28efaa,1,0,0,1,0.0,1.0,0.0,52.1226,87453743,87453743
0x5638eaeb940d47f5aa772239789b93e9061edd3d,1,0,0,0,0.0,0.0,0.0,0.0,86909938,86909938
0x56edaccf27d9066b50f77d6dcb8f57f14a8735d9,1,0,0,0,0.0,0.0,0.0,0.0,87424319,87424319
0x573d4f2313d820f50598e5a3a02338cc1d5870b5,1,0,0,0,0.0,0.0,0.0,0.0,86753865,86753865
0x584ff6e87dada98ecb1ef088160950a63f96951d,1,0,0,0,0.0,0.0,0.0,0.0,87126955,87126955
0x5933a735191ddb963109b436fb25934ddb8ded8f,1,0,0,1,0.0,1.0,0.0,43.3265,87086778,87086778
0x5a33f6b64369a7b6d6b282759f1611af29b77bfd,1,0,0,0,0.0,0.0,0.0,0.0,86850197,86850197
0x5a8112509bb497e59ed1013889f2faa15c04e5ec,1,0,0,1,0.0,1.0,0.0,42.0,89106679,89106679
0x5aaa41a9a32b721b6f02d34f32456fb6971bac2a,3,0,0,0,0.0,0.0,0.0,4.0,86902130,88764834
0x5c2788581e0b485b0ce9d1b39174e2d69014556d,3,0,0,0,0.0,0.0,0.0,4.0,87842155,88791708
0x5cb7a8253e684371a94759de8c092341ff67297d,4,0,0,0,0.0,0.0,0.0,4.0,87438231,88774228
0x5d3c7d2d5e43397b19a1b47257ab5eec95abe683,1,0,0,0,0.0,0.0,0.0,0.0,87234598,87234598
0x5dde05dccd76ef5d5dcdd21d3632517e34ba71a5,1,0,0,0,0.0,0.0,0.0,0.0,89174998,89174998
0x5defa59a99eab0c258012b69226dd08aa3f6cccb,1,0,0,0,0.0,0.0,0.0,3.3598,87117627,87117627
0x5df0b9b58223dc3826e85d3045daae3e37f34335,1,0,0,0,0.0,0.0,0.0,0.0,87700543,87700543
0x5e1955ea2f4f558a59447120d933aa4bac6f7ed1,3,0,0,1,0.0,0.333333,0.0,21.1495,87896590,88765718
0x5e1dac5afc2e29561e849910fcd14f7ccafdfeb2,1,0,0,0,0.0,0.0,0.0,0.0,87703722,87703722
0x5e3c35bed4d03a59fb03b0364ec9f3215b495cba,3,0,0,0,0.0,0.0,0.0,4.0,86749713,87448289
0x5f7907413ba571142a6af475c443dcdd7abe8291,1,0,0,0,0.0,0.0,0.0,0.0,87889577,87889577
0x603fc840f40b18c75ef984741e615ec20d51756b,1,0,0,1,0.0,1.0,0.0,83.8152,88678989,88678989
0x609f2c912175f8cd4438c1882f291fa6a4b4c735,1,0,0,1,0.0,1.0,0.0,55.0,88860317,88860317
0x60b6178615bd44737a37c116f460a4cf4be9088e,1,1,0,0,0.0,0.0,1.0,-77.8439,86908889,86908889
0x61066d0c3c88b48207f780a1de473af4760a526a,2,0,0,1,0.0,0.5,0.0,22.3049,87517171,87519176
0x61bf215ff016e26e79dd1ba556fd14da7a311147,1,0,0,0,0.0,0.0,0.0,0.0,87235105,87235105
0x620f4fccd2c14f801713e57e5c654ddcf251094f,4,0,0,1,0.0,0.25,0.0,37.5803,87709996,88377064
0x62f071a5f734c8566110cfa7449f663a5b9d38ee,5,0,0,0,0.0,0.0,0.0,8.0,87098960,88023119
0x63818d2c0da8d736e565f47d72155ed8284f0915,1,0,0,0,0.0,0.0,0.0,0.0,87697519,87697519
0x640f974992fdae9a6daa586dd3b01519ce699524,1,0,0,0,0.0,0.0,0.0,0.0,86868256,86868256
0x64b601b5e83459681d033715f7d4b93b18a0c291,1,0,0,0,0.0,0.0,0.0,0.0,87264993,87264993
0x64c5260c9d2f842254db163ac034c61849caa0af,16,0,0,2,0.0,0.125,0.0,15.0311,86886346,88801856
0x65140480b3321140964c7132c1936512de622088,1,0,0,0,0.0,0.0,0.0,0.0,88194906,88194906
0x6577271c51e78873885f2d65d7fb7e95fa1bdc9b,1,0,0,0,0.0,0.0,0.0,0.0,88059321,88059321
0x6614bb0b6b09cff0da8dfc515e89f1373721156e,2,0,0,0,0.0,0.0,0.0,0.0,87062400,87072389
0x6628ebb93b27528618564b441fe6759bf1227dfb,1,0,0,0,0.0,0.0,0.0,0.0,88061704,88061704
0x66a198302446188cfe12056470e980768734594a,2,0,0,1,0.0,0.5,0.0,37.5,88869105,89278904
0x67b12d6ec2ee6fed24d71a2c22ddd51042e344a3,2,0,0,0,0.0,0.0,0.0,0.0,87084501,87628196
